2025-10-03 20:38:25 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:38:25.780598", "event": "SUCCESS", "data": {"action": "ZIP_EXPORT", "duration": {"path": "T:\\TunaRP\\Zero to Dev - Developer GUI\\output\\tts_package.zip"}}}
2025-10-03 20:42:05 | INFO    | Main | {"timestamp": "2025-10-03T20:42:05.023018", "event": "SESSION_END", "data": {"session_id": "20251003-203703"}}
2025-10-03 21:06:21 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 21:06:21 | INFO    | Main | {"timestamp": "2025-10-03T21:06:21.361779", "event": "SESSION_START", "data": {"session_id": "20251003-210621"}}
2025-10-03 21:06:21 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 21:06:23 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T21:06:23.977326", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 21:08:00 | INFO    | Main | {"timestamp": "2025-10-03T21:08:00.026007", "event": "SESSION_END", "data": {"session_id": "20251003-210621"}}
2025-10-03 21:08:03 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 21:08:03 | INFO    | Main | {"timestamp": "2025-10-03T21:08:03.416593", "event": "SESSION_START", "data": {"session_id": "20251003-210803"}}
2025-10-03 21:08:03 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 21:08:05 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T21:08:05.818224", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 21:08:20 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T21:08:20.007473", "event": "CONFIG_CHANGE", "data": {"key": "log_mode", "old": "INFO", "new": "INFO"}}
2025-10-03 21:08:20 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T21:08:20.021188", "event": "CONFIG_CHANGE", "data": {"key": "log_handler", "old": "both", "new": "sqlite"}}
2025-10-03 21:08:20 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T21:08:20.032975", "event": "CONFIG_CHANGE", "data": {"key": "log_db_path", "old": "logs.sqlite", "new": "logs.sqlite"}}
2025-10-03 21:09:41 | INFO    | root | Logs initialized in ERROR mode → handler=file
2025-10-03 21:10:02 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 21:10:02 | INFO    | Main | {"timestamp": "2025-10-03T21:10:02.236574", "event": "SESSION_START", "data": {"session_id": "20251003-211002"}}
2025-10-03 21:10:02 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 21:10:04 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T21:10:04.075012", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:09:21 | INFO    | Main | {"timestamp": "2025-10-03T22:09:21.601475", "event": "SESSION_END", "data": {"session_id": "20251003-211002"}}
2025-10-03 22:19:06 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 22:19:06 | INFO    | Main | {"timestamp": "2025-10-03T22:19:06.782215", "event": "SESSION_START", "data": {"session_id": "20251003-221906"}}
2025-10-03 22:19:07 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 22:19:08 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:19:08.794915", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:19:22 | INFO    | Main | {"timestamp": "2025-10-03T22:19:22.097716", "event": "SESSION_END", "data": {"session_id": "20251003-221906"}}
2025-10-03 22:19:29 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 22:19:29 | INFO    | Main | {"timestamp": "2025-10-03T22:19:29.613848", "event": "SESSION_START", "data": {"session_id": "20251003-221929"}}
2025-10-03 22:19:30 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 22:19:31 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:19:31.346930", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:20:06 | INFO    | Main | {"timestamp": "2025-10-03T22:20:06.956893", "event": "SESSION_END", "data": {"session_id": "20251003-221929"}}
2025-10-03 22:20:08 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 22:20:08 | INFO    | Main | {"timestamp": "2025-10-03T22:20:08.568909", "event": "SESSION_START", "data": {"session_id": "20251003-222008"}}
2025-10-03 22:20:08 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 22:20:10 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T22:20:10.354180", "event": "BUTTON_CLICK", "data": {"action": "OPEN_CONFIG_SETTINGS"}}
2025-10-03 22:21:28 | INFO    | Main | {"timestamp": "2025-10-03T22:21:28.034163", "event": "SESSION_END", "data": {"session_id": "20251003-222008"}}
